    C         F         N     
______________________________
  0.00     32.00     0.00   
  0.25     32.45     0.08   
  0.50     32.90     0.17   
  0.75     33.35     0.25   
  1.00     33.80     0.33   
  1.25     34.25     0.41   
  1.50     34.70     0.49   
  1.75     35.15     0.58   
  2.00     35.60     0.66   
  2.25     36.05     0.74   
  2.50     36.50     0.83   
  2.75     36.95     0.91   
  3.00     37.40     0.99   
  3.25     37.85     1.07   
  3.50     38.30     1.16   
  3.75     38.75     1.24   
  4.00     39.20     1.32   
  4.25     39.65     1.40   
  4.50     40.10     1.49   
  4.75     40.55     1.57   
  5.00     41.00     1.65   
